# Glyph placement metrics — values normalized to the 0..1 SVG viewBox
#
# All SVGs share the same baseline_y.  To place glyph B directly after
# glyph A, offset B horizontally by A's advance_w (scaled to your tile size).
# To align descenders/ascenders visually, use ink_top / ink_bottom.
#
char    baseline_y   ink_top   ink_bottom   ink_left  ink_right  ink_width  advance_w
Š           0.8148    0.0026       0.8166     0.2453     0.7547     0.5094     0.5566
š           0.8148    0.1536       0.8148     0.2844     0.7156     0.4312     0.4674
Ť           0.8148    0.0026       0.8135     0.2643     0.7357     0.4714     0.5173
ť           0.8148    0.0247       0.8197     0.3131     0.6869     0.3739     0.3990
Ŧ           0.8148    0.1832       0.8135     0.2643     0.7357     0.4714     0.5054
ŧ           0.8148    0.1819       0.8197     0.3495     0.6505     0.3010     0.3346
Ũ           0.8148    0.0583       0.8163     0.2645     0.7355     0.4710     0.5173
ũ           0.8148    0.2092       0.8148     0.2703     0.7297     0.4595     0.5058
Ŭ           0.8148    0.0463       0.8163     0.2645     0.7355     0.4710     0.5173
ŭ           0.8148    0.1973       0.8148     0.2703     0.7297     0.4595     0.5058
Ů           0.8148    0.0018       0.8163     0.2645     0.7355     0.4710     0.5173
ů           0.8148    0.1262       0.8148     0.2703     0.7297     0.4595     0.5058
Ű           0.8148    0.0022       0.8163     0.2645     0.7355     0.4710     0.5173
ű           0.8148    0.1532       0.8148     0.2703     0.7297     0.4595     0.5058
Ų           0.8148    0.1805       0.9287     0.2645     0.7355     0.4710     0.5173
ų           0.8148    0.3293       0.9291     0.2703     0.7297     0.4595     0.5058
Ŵ           0.8148    0.0026       0.8153     0.0562     0.9438     0.8877     0.9243
ŵ           0.8148    0.1536       0.8153     0.1100     0.8900     0.7800     0.7941
Ŷ           0.8148    0.0026       0.8135     0.2358     0.7642     0.5284     0.5725
ŷ           0.8148    0.1536       0.9971     0.2625     0.7375     0.4749     0.4895
Ÿ           0.8148    0.0353       0.8135     0.2358     0.7642     0.5284     0.5725
Ź           0.8148    0.0000       0.8148     0.2643     0.7357     0.4714     0.5116
ź           0.8148    0.1532       0.8153     0.2795     0.7205     0.4410     0.4701
Ż           0.8148    0.0375       0.8148     0.2643     0.7357     0.4714     0.5116
ż           0.8148    0.1863       0.8153     0.2795     0.7205     0.4410     0.4701
Ž           0.8148    0.0049       0.8148     0.2643     0.7357     0.4714     0.5116
ž           0.8148    0.1536       0.8153     0.2795     0.7205     0.4410     0.4701
Ǎ           0.8148    0.0026       0.8148     0.2142     0.7858     0.5716     0.5999
ǎ           0.8148    0.1536       0.8197     0.2782     0.7218     0.4436     0.4935
Ǐ           0.8148    0.0026       0.8148     0.3808     0.6192     0.2384     0.1885
ǐ           0.8148    0.1536       0.8148     0.3808     0.6192     0.2384     0.1774
Ǒ           0.8148    0.0026       0.8148     0.1974     0.8026     0.6052     0.6493
ǒ           0.8148    0.1536       0.8162     0.2698     0.7302     0.4604     0.5129
Ǔ           0.8148    0.0026       0.8163     0.2645     0.7355     0.4710     0.5173
ǔ           0.8148    0.1536       0.8148     0.2703     0.7297     0.4595     0.5058
Ǧ           0.8148    0.0026       0.8148     0.1974     0.8026     0.6052     0.6453
ǧ           0.8148    0.1536       0.9968     0.2592     0.7408     0.4816     0.5200
Ǩ           0.8148    0.0026       0.8148     0.2184     0.7816     0.5632     0.6091
ǩ           0.8148    0.0049       0.8148     0.2471     0.7529     0.5058     0.5257
Ǫ           0.8148    0.1801       0.9269     0.1974     0.8026     0.6052     0.6493
ǫ           0.8148    0.3297       0.9221     0.2698     0.7302     0.4604     0.5129
Ǵ           0.8148    0.0022       0.8148     0.1974     0.8026     0.6052     0.6453
ǵ           0.8148    0.1532       0.9968     0.2592     0.7408     0.4816     0.5200
Ǹ           0.8148    0.0066       0.8148     0.2420     0.7580     0.5160     0.5619
ǹ           0.8148    0.1532       0.8148     0.2703     0.7297     0.4595     0.5058
Ȧ           0.8148    0.0353       0.8148     0.2142     0.7858     0.5716     0.5999
ȧ           0.8148    0.1863       0.8197     0.2782     0.7218     0.4436     0.4935
Ȯ           0.8148    0.0353       0.8148     0.1974     0.8026     0.6052     0.6493
ȯ           0.8148    0.1863       0.8162     0.2698     0.7302     0.4604     0.5129
ˆ           0.8148    0.0653       0.1819     0.3808     0.6192     0.2384     0.2538
ˇ           0.8148    0.0653       0.1819     0.3808     0.6192     0.2384     0.2538
˘           0.8148    0.1090       0.1810     0.4287     0.5713     0.1426     0.1655
˙           0.8148    0.0980       0.1810     0.4525     0.5475     0.0949     0.1245
˚           0.8148    0.0380       0.1792     0.4287     0.5713     0.1426     0.1633
˛           0.8148    0.7861       0.9291     0.4559     0.5441     0.0883     0.1152
˜           0.8148    0.1209       0.1801     0.3892     0.6108     0.2216     0.2450
˝           0.8148    0.0649       0.1814     0.3702     0.6298     0.2595     0.2865
;           0.8148    0.3619       0.9605     0.4276     0.5724     0.1448     0.1885
΄           0.8148    0.0649       0.1814     0.4320     0.5680     0.1360     0.1642
Ά           0.8148    0.0649       0.8148     0.2142     0.7858     0.5716     0.5999
Έ           0.8148    0.0649       0.8148     0.2043     0.7957     0.5915     0.6184
Ή           0.8148    0.0649       0.8148     0.1535     0.8465     0.6930     0.7296
Ί           0.8148    0.0649       0.8148     0.3656     0.6344     0.2688     0.3054
Ό           0.8148    0.0649       0.8148     0.1974     0.8026     0.6052     0.6259
Ύ           0.8148    0.0649       0.8135     0.1780     0.8220     0.6440     0.6776
Ώ           0.8148    0.0649       0.8148     0.1356     0.8644     0.7288     0.7521
Α           0.8148    0.1819       0.8148     0.2142     0.7858     0.5716     0.5999
Β           0.8148    0.1805       0.8153     0.2389     0.7611     0.5222     0.5659
Γ           0.8148    0.1832       0.8135     0.2643     0.7357     0.4714     0.5173
Δ           0.8148    0.1819       0.8148     0.2510     0.7490     0.4979     0.5398
Ε           0.8148    0.1805       0.8148     0.2667     0.7333     0.4666     0.5094
Ζ           0.8148    0.1805       0.8144     0.2762     0.7238     0.4476     0.4891
Η           0.8148    0.1805       0.8148     0.2160     0.7840     0.5681     0.6144
Θ           0.8148    0.1801       0.8148     0.1974     0.8026     0.6052     0.6343
Ι           0.8148    0.1805       0.8148     0.4281     0.5719     0.1439     0.1885
Κ           0.8148    0.1819       0.8148     0.2184     0.7816     0.5632     0.5734
Λ           0.8148    0.1819       0.8153     0.2087     0.7913     0.5826     0.6131
Μ           0.8148    0.1819       0.8148     0.1319     0.8681     0.7363     0.7830
Ν           0.8148    0.1819       0.8148     0.2420     0.7580     0.5160     0.5619
Ξ           0.8148    0.1805       0.8153     0.3237     0.6763     0.3527     0.3920
Ο           0.8148    0.1801       0.8148     0.1974     0.8026     0.6052     0.6493
Π           0.8148    0.1832       0.8135     0.2643     0.7357     0.4714     0.5173
Ρ           0.8148    0.1788       0.8148     0.2530     0.7470     0.4939     0.5376
Σ           0.8148    0.1805       0.8153     0.3234     0.6766     0.3531     0.3955
Τ           0.8148    0.1832       0.8135     0.2643     0.7357     0.4714     0.5173
Υ           0.8148    0.1814       0.8135     0.2358     0.7642     0.5284     0.5712
Φ           0.8148    0.0847       0.9234     0.1158     0.8842     0.7685     0.8029
Χ           0.8148    0.1814       0.8162     0.2345     0.7655     0.5310     0.5756
Ψ           0.8148    0.1805       0.8148     0.1742     0.8258     0.6515     0.6908
Ω           0.8148    0.1801       0.8148     0.1356     0.8644     0.7288     0.7720
Ϊ           0.8148    0.0353       0.8148     0.3908     0.6092     0.2185     0.1885
Ϋ           0.8148    0.0309       0.8135     0.2358     0.7642     0.5284     0.5712
ά           0.8148    0.1532       0.8166     0.2605     0.7395     0.4789     0.5217
έ           0.8148    0.1532       0.8132     0.3345     0.6655     0.3311     0.3628
ή           0.8148    0.1532       0.9627     0.2703     0.7297     0.4595     0.5058
ί           0.8148    0.1532       0.8148     0.4188     0.5812     0.1624     0.1748
α           0.8148    0.3293       0.8166     0.2605     0.7395     0.4789     0.5217
β           0.8148    0.1799       0.9570     0.2694     0.7306     0.4613     0.4825
γ           0.8148    0.3315       0.9636     0.2402     0.7598     0.5195     0.5562
δ           0.8148    0.1823       0.8170     0.2698     0.7302     0.4604     0.5129
ε           0.8148    0.3256       0.8132     0.3345     0.6655     0.3311     0.3628
ζ           0.8148    0.1805       0.8148     0.3018     0.6982     0.3964     0.4312
η           0.8148    0.3293       0.9627     0.2703     0.7297     0.4595     0.5058
θ           0.8148    0.1801       0.8144     0.2747     0.7253     0.4507     0.4851
ι           0.8148    0.3297       0.8148     0.4281     0.5719     0.1439     0.1748
κ           0.8148    0.3302       0.8148     0.2471     0.7529     0.5058     0.5257
λ           0.8148    0.1792       0.8153     0.2625     0.7375     0.4749     0.4895
μ           0.8148    0.3306       0.9649     0.2703     0.7297     0.4595     0.5058
