# Glyph placement metrics — values normalized to the 0..1 SVG viewBox
#
# All SVGs share the same baseline_y.  To place glyph B directly after
# glyph A, offset B horizontally by A's advance_w (scaled to your tile size).
# To align descenders/ascenders visually, use ink_top / ink_bottom.
#
char    baseline_y   ink_top   ink_bottom   ink_left  ink_right  ink_width  advance_w
ƒ           0.7223    0.2280       0.8515     0.3522     0.6478     0.2955     0.2465
Ɠ           0.7223    0.1368       0.7337     0.2680     0.7320     0.4641     0.4561
Ɣ           0.7223    0.2663       0.8515     0.2963     0.7037     0.4074     0.4148
ƕ           0.7223    0.2357       0.7300     0.2606     0.7394     0.4789     0.5741
Ɩ           0.7223    0.2663       0.7337     0.4106     0.5894     0.1787     0.2527
Ɨ           0.7223    0.2663       0.7223     0.3917     0.6083     0.2166     0.2320
Ƙ           0.7223    0.2604       0.7223     0.3122     0.6878     0.3757     0.4191
ƙ           0.7223    0.2280       0.7223     0.3521     0.6479     0.2958     0.3689
ƚ           0.7223    0.2357       0.7223     0.3935     0.6065     0.2129     0.2280
ƛ           0.7223    0.2357       0.7223     0.3247     0.6753     0.3507     0.3750
Ɯ           0.7223    0.2663       0.7337     0.2205     0.7795     0.5590     0.6712
Ɲ           0.7223    0.2663       0.8515     0.2826     0.7174     0.4348     0.4663
