# Glyph placement metrics — values normalized to the 0..1 SVG viewBox
#
# All SVGs share the same baseline_y.  To place glyph B directly after
# glyph A, offset B horizontally by A's advance_w (scaled to your tile size).
# To align descenders/ascenders visually, use ink_top / ink_bottom.
#
char    baseline_y   ink_top   ink_bottom   ink_left  ink_right  ink_width  advance_w
  Ĵ    (U+0134)
  ĵ    (U+0135)
  Ķ    (U+0136)
  ķ    (U+0137)
  ĸ    (U+0138)
  Ĺ    (U+0139)
  ĺ    (U+013A)
  Ļ    (U+013B)
  ļ    (U+013C)
  Ľ    (U+013D)
  ľ    (U+013E)
  Ŀ    (U+013F)
  ŀ    (U+0140)
  Ł    (U+0141)
  ł    (U+0142)
  Ń    (U+0143)
  ń    (U+0144)
  Ņ    (U+0145)
  ņ    (U+0146)
  Ň    (U+0147)
  ň    (U+0148)
  ŉ    (U+0149)
  Ŋ    (U+014A)
  ŋ    (U+014B)
  Ō    (U+014C)
  ō    (U+014D)
  Ŏ    (U+014E)
  ŏ    (U+014F)
  Ő    (U+0150)
  ő    (U+0151)
  Ŕ    (U+0154)
  ŕ    (U+0155)
  Ŗ    (U+0156)
  ŗ    (U+0157)
  Ř    (U+0158)
  ř    (U+0159)
  Ś    (U+015A)
  ś    (U+015B)
  Ŝ    (U+015C)
  ŝ    (U+015D)
  Ş    (U+015E)
  ş    (U+015F)
  Š    (U+0160)
  š    (U+0161)
  Ţ    (U+0162)
  ţ    (U+0163)
  Ť    (U+0164)
  ť    (U+0165)
  Ŧ    (U+0166)
  ŧ    (U+0167)
  Ũ    (U+0168)
  ũ    (U+0169)
  Ū    (U+016A)
  ū    (U+016B)
  Ŭ    (U+016C)
  ŭ    (U+016D)
  Ů    (U+016E)
  ů    (U+016F)
  Ű    (U+0170)
  ű    (U+0171)
  Ų    (U+0172)
  ų    (U+0173)
  Ŵ    (U+0174)
  ŵ    (U+0175)
  Ŷ    (U+0176)
  ŷ    (U+0177)
  Ÿ    (U+0178)
  Ź    (U+0179)
  ź    (U+017A)
  Ż    (U+017B)
  ż    (U+017C)
  Ž    (U+017D)
  ž    (U+017E)
  ſ    (U+017F)
  ƒ    (U+0192)
  Ǻ    (U+01FA)
  ǻ    (U+01FB)
  Ǽ    (U+01FC)
  ǽ    (U+01FD)
  Ǿ    (U+01FE)
  ǿ    (U+01FF)
  ˇ    (U+02C7)
  ˉ    (U+02C9)
  ˘    (U+02D8)
  ˙    (U+02D9)
  ˚    (U+02DA)
  ˛    (U+02DB)
  ˝    (U+02DD)
  ΄    (U+0384)
  ΅    (U+0385)
  Ά    (U+0386)
  ·    (U+0387)
  Έ    (U+0388)
  Ή    (U+0389)
  Ί    (U+038A)
  Ό    (U+038C)
  Ύ    (U+038E)
  Ώ    (U+038F)
  ΐ    (U+0390)
  Α    (U+0391)
  Β    (U+0392)
  Γ    (U+0393)
  Δ    (U+0394)
  Ε    (U+0395)
  Ζ    (U+0396)
  Η    (U+0397)
  Θ    (U+0398)
  Ι    (U+0399)
  Κ    (U+039A)
  Λ    (U+039B)
  Μ    (U+039C)
  Ν    (U+039D)
  Ξ    (U+039E)
  Ο    (U+039F)
  Π    (U+03A0)
  Ρ    (U+03A1)
  Σ    (U+03A3)
  Τ    (U+03A4)
  Υ    (U+03A5)
  Φ    (U+03A6)
  Χ    (U+03A7)
  Ψ    (U+03A8)
  Ω    (U+03A9)
  Ϊ    (U+03AA)
  Ϋ    (U+03AB)
  ά    (U+03AC)
  έ    (U+03AD)
  ή    (U+03AE)
  ί    (U+03AF)
  ΰ    (U+03B0)
  α    (U+03B1)
